,Article
LEGIARTI000032315888,"L'évaluation mentionnée à l'article L. 313-20 donne lieu à la rédaction d'un document d'expertise prenant en compte, suivant les normes mentionnées au 2° du même article, les facteurs juridiques, économiques, techniques et fiscaux permettant d'établir la valeur du bien immobilier. Cette évaluation est consignée sur un support durable. La liste des pièces conservées par le prêteur est précisée par décret."
LEGIARTI000032315882,Le prêteur tient des archives appropriées concernant les types de biens immobiliers acceptés comme garantie ainsi que les procédures qui s'y rapportent en matière d'octroi de prêts mentionnés au 2° de l'article L. 313-1 .
LEGIARTI000035731498,"Pour les prêts mentionnés à l'article L. 313-1 , le prêteur formule une offre fournie gratuitement sur support papier ou sur un autre support durable à l'emprunteur ainsi qu'aux cautions déclarées par l'emprunteur lorsqu'il s'agit de personnes physiques. Cette offre est accompagnée de la fiche d'information standardisée européenne mentionnée à l'article L. 313-7 lorsque ses caractéristiques sont différentes des informations contenues dans la fiche d'information fournie précédemment le cas échéant."
LEGIARTI000038613861,"L'offre mentionnée à l'article L. 313-24 : 1° Mentionne l'identité des parties et éventuellement des cautions déclarées ; 2° Précise la nature, l'objet, les modalités du prêt, notamment celles qui sont relatives aux dates et conditions de mise à disposition des fonds ; 3° Pour les offres de prêts dont le taux d'intérêt est fixe, comprend un échéancier des amortissements détaillant pour chaque échéance la répartition du remboursement entre le capital et les intérêts ; 4° Pour les offres de prêts dont le taux d'intérêt est variable, ou révisable, est accompagnée d'une notice présentant les conditions et modalités de variation du taux d'intérêt et d'un document d'information contenant une simulation de l'impact d'une variation de ce taux sur les mensualités, la durée du prêt et le coût total du crédit. Cette simulation ne constitue pas un engagement du prêteur à l'égard de l'emprunteur quant à l'évolution effective des taux d'intérêt pendant le prêt et à son impact sur les mensualités, la durée du prêt et le coût total du crédit. Le document d'information mentionne le caractère indicatif de la simulation et l'absence de responsabilité du prêteur quant à l'évolution effective des taux d'intérêt pendant le prêt et à son impact sur les mensualités, la durée du prêt et le coût total du crédit ; 5° Indique, outre le montant du crédit susceptible d'être consenti et, le cas échéant, celui de ses fractions périodiquement disponibles, son coût total, son taux défini conformément aux articles L. 314-1 à L. 314-4 ainsi que, s'il y a lieu, les modalités de l'indexation ; 6° Enonce, en donnant une évaluation de leur coût, les stipulations, les assurances et les sûretés réelles ou personnelles exigées, qui conditionnent la conclusion du prêt ; 7° Mentionne que l'emprunteur peut souscrire auprès de l'assureur de son choix une assurance dans les conditions fixées aux articles L. 313-29 et L. 313-30 et précise les documents que doit contenir la demande de substitution ; 8° Fait état des conditions requises pour un transfert éventuel du prêt à une tierce personne ; 9° Rappelle les dispositions de l'article L. 313-34. Le cas échéant, l'information relative aux différents contrats de crédit composant une opération de financement peut figurer dans l'offre."
LEGIARTI000034852187,"Le prêteur peut conditionner l'offre de prêt mentionnée à l'article L. 313-24 à la domiciliation par l'emprunteur de ses salaires ou revenus assimilés sur un compte de paiement mentionné à l'article L. 314-1 du code monétaire et financier, sous réserve pour ce prêteur de faire bénéficier en contrepartie l'emprunteur d'un avantage individualisé. Cette condition ne peut être imposée à l'emprunteur au-delà d'une durée maximale fixée par décret en Conseil d'Etat. Au terme du délai prévu par le contrat de crédit, l'avantage individualisé est acquis à l'emprunteur jusqu'à la fin du prêt. Si, avant le terme de ce délai, l'emprunteur cesse de satisfaire à la condition de domiciliation susmentionnée, le prêteur peut mettre fin, pour les échéances restant à courir jusqu'au terme du prêt, à l'avantage individualisé mentionné au premier alinéa, et appliquer les conditions, de taux ou autres, mentionnées au 10° de l'article L. 313-25 . Les dispositions du présent article peuvent être appliquées à chacun des contrats de crédit composant l'opération de financement figurant dans l'offre de prêt."
LEGIARTI000034072722,"Le modèle de l'offre mentionnée aux articles L. 313-24 et L. 313-25 peut, en tant que de besoin, être fixé par arrêté du ministre chargé de l'économie."
LEGIARTI000035731495,"Toute modification des conditions d'obtention d'un prêt dont le taux d'intérêt est fixe, notamment le montant ou le taux du crédit, donne lieu à la fourniture à l'emprunteur d'une nouvelle offre préalable sur support papier ou sur un autre support durable."
LEGIARTI000045271938,"Dans les cas où l'emprunteur présente un autre contrat d'assurance à la place du contrat d'assurance proposé par le prêteur dans les conditions prévues à l'article L. 313-29, le prêteur peut émettre une offre modifiée, sur support papier ou sur un autre support durable, sous réserve des dispositions de l'article L. 313-32 , sans que les délais mentionnés à l'article L. 313-34 ne soient prorogés ni ne courent à nouveau. Les modalités selon lesquelles le prêteur établit l'offre modifiée mentionnée à l'article L. 313-27 et les conditions dans lesquelles le prêteur et l'assureur délégué s'échangent les informations préalables à la souscription des contrats sont fixées par décret en Conseil d'Etat."
LEGIARTI000032433144,"Lorsque le prêteur propose à l'emprunteur un contrat  d'assurance en vue de garantir en cas de survenance d'un des risques que  ce contrat définit, soit le remboursement total ou partiel du montant  du prêt restant dû, soit le paiement de tout ou partie des échéances  dudit prêt, les dispositions suivantes sont obligatoirement appliquées : 1° Au contrat de prêt est annexée une notice énumérant les  risques garantis et précisant toutes les modalités de la mise en jeu de  l'assurance ; 2° Toute modification apportée  ultérieurement à la définition des risques garantis, aux modalités de la  mise en jeu de l'assurance ou à la tarification du contrat est  inopposable à l'emprunteur qui n'y a pas donné son acceptation ; 3° Lorsque l'assureur a subordonné sa garantie à l'agrément de la  personne de l'assuré et que cet agrément n'est pas donné, le contrat de  prêt est résolu de plein droit à la demande de l'emprunteur sans frais  ni pénalité d'aucune sorte. Cette demande doit être présentée dans le  délai d'un mois à compter de la notification du refus de l'agrément."
LEGIARTI000045271935,"Jusqu'à la signature par l'emprunteur de l'offre mentionnée à l'article L. 313-24 , le prêteur ne peut pas refuser en garantie un autre contrat d'assurance dès lors que ce contrat présente un niveau de garantie équivalent au contrat d'assurance qu'il propose. Il en est de même lorsque l'emprunteur fait usage du droit de résiliation prévu au premier alinéa de l'article L. 113-12-2 du code des assurances ou au troisième alinéa de l'article L. 221-10 du code de la mutualité . Toute décision de refus est explicite et comporte l'intégralité des motifs de refus. Elle précise, le cas échéant, les informations et garanties manquantes."
LEGIARTI000045271953,"Si l'offre mentionnée à l'article L. 313-24 a été émise, le prêteur informe l'emprunteur sur support papier ou tout autre support durable de sa décision d'acceptation ou de refus et lui adresse, s'il y a lieu, l'offre modifiée mentionnée à l'article L. 313-27 , dans un délai de dix jours ouvrés à compter de la réception de la demande de substitution. Si l'emprunteur fait usage du droit de résiliation du contrat d'assurance en application du premier alinéa de l'article L. 113-12-2 du code des assurances, ou du troisième alinéa de l'article L. 221-10 du code de la mutualité, le prêteur notifie à l'emprunteur sa décision d'acceptation ou de refus dans un délai de dix jours ouvrés à compter de la réception d'un autre contrat d'assurance. En cas d'acceptation, le prêteur modifie par voie d'avenant, dans un délai de dix jours ouvrés à compter de la réception de la demande de substitution, le contrat de crédit conformément à l'article L. 313-39 en y mentionnant, notamment, le nouveau taux annuel effectif global calculé, conformément aux articles L. 314-1 à L. 314-4 , en se fondant sur les informations transmises par l'assureur délégué dans les conditions fixées au deuxième alinéa de l'article L. 313-28 . Lorsque l'avenant comporte un ou plusieurs éléments chiffrés sur le coût de l'assurance, ce coût est exprimé selon les modalités définies à l'article L. 313-8 . Le prêteur ne peut exiger de frais supplémentaires de l'emprunteur pour l'émission de cet avenant."
LEGIARTI000045271944,"Le prêteur ne peut, en contrepartie de son acceptation en garantie d'un contrat d'assurance autre que le contrat d'assurance qu'il propose, y compris en cas d'exercice du droit de résiliation en application du premier alinéa de l'article L. 113-12-2 du code des assurances ou du troisième alinéa de l'article L. 221-10 du code de la mutualité ni modifier le taux, qu'il soit fixe, variable ou révisable, ou les conditions d'octroi du crédit, y compris son mode d'amortissement, prévus dans l'offre mentionnée à l'article L. 313-24 , ni exiger le paiement de frais supplémentaires, y compris les frais liés aux travaux d'analyse de cet autre contrat d'assurance."
LEGIARTI000032433169,L'assureur est tenu d'informer le prêteur du non-paiement  par l'emprunteur de sa prime d'assurance ou de toute modification  substantielle du contrat d'assurance.
LEGIARTI000032433173,"L'envoi de l'offre oblige le prêteur à maintenir les conditions  qu'elle indique pendant une durée minimale de trente jours à compter de  sa réception par l'emprunteur. L'offre est soumise à  l'acceptation de l'emprunteur et des cautions, personnes physiques,  déclarées. L'emprunteur et les cautions ne peuvent accepter l'offre que  dix jours après qu'ils l'ont reçue. L'acceptation est donnée par lettre,  le cachet de l'opérateur postal faisant foi, ou selon tout autre moyen  convenu entre les parties de nature à rendre certaine la date de  l'acceptation par l'emprunteur."
LEGIARTI000032433178,"Jusqu'à l'acceptation de l'offre par l'emprunteur, aucun  versement, sous quelque forme que ce soit, ne peut, au titre de  l'opération en cause, être fait par le prêteur à l'emprunteur ou pour le  compte de celui-ci, ni par l'emprunteur au prêteur. Jusqu'à cette acceptation, l'emprunteur ne peut, au même titre, faire  aucun dépôt, souscrire ou avaliser aucun effet de commerce, ni signer  aucun chèque. Si une autorisation de prélèvement sur compte bancaire ou  postal est signée par l'emprunteur, sa validité et sa prise d'effet sont  subordonnées à celle du contrat de crédit."
LEGIARTI000032433183,"L'offre est toujours acceptée sous la condition  résolutoire de la non-conclusion, dans un délai de quatre mois à compter  de son acceptation, du contrat pour lequel le prêt est demandé. Les parties peuvent convenir d'un délai plus long que celui défini au premier alinéa."
LEGIARTI000032433187,"Lorsque l'emprunteur informe ses prêteurs qu'il recourt à  plusieurs prêts pour la même opération, chaque prêt est conclu sous la  condition suspensive de l'octroi de chacun des autres prêts. Cette  disposition ne s'applique qu'aux prêts dont le montant est supérieur à  10 % du crédit total."
LEGIARTI000032433191,"Lorsque le contrat en vue duquel le prêt a été demandé n'est pas conclu dans le délai fixé en application des dispositions de l'article L. 313-36 , l'emprunteur rembourse la totalité des sommes que le prêteur lui aurait déjà effectivement versées ou qu'il aurait versées pour son compte ainsi que les intérêts y afférents ; le prêteur ne peut retenir ou demander que des frais d'étude dont le montant maximum est fixé suivant un barème déterminé par décret. Le montant de ces frais ainsi que les conditions dans lesquelles ils sont perçus figurent distinctement dans l'offre."
LEGIARTI000038613855,"En cas de renégociation de prêt, les modifications au contrat de crédit initial sont apportées sous la seule forme d'un avenant établi sur support papier ou sur un autre support durable. Cet avenant comprend, d'une part, un échéancier des amortissements détaillant pour chaque échéance le capital restant dû en cas de remboursement anticipé et, d'autre part, le taux annuel effectif global ainsi que le coût du crédit, calculés sur la base des seuls échéances et frais à venir. Pour les prêts à taux variable ou révisable, l'avenant comprend le taux annuel effectif global ainsi que le coût du crédit, calculés sur la base des seuls échéances et frais à venir jusqu'à la date de la révision du taux, ainsi que les conditions et modalités de variation du taux. L'emprunteur dispose d'un délai de réflexion de dix jours à compter de la réception des informations mentionnées au deuxième alinéa. L'acceptation doit être donnée par lettre, le cachet de l'opérateur postal faisant foi, ou selon tout autre moyen convenu entre les parties de nature à rendre certaine la date de l'acceptation par l'emprunteur."
LEGIARTI000032433223,"L'acte écrit, y compris la promesse unilatérale de vente acceptée et le contrat préliminaire prévu à l' article L. 261-15 du code de la construction et de l'habitation , ayant pour objet de constater l'une des opérations mentionnées au 1° de l'article L. 313-1 , doit indiquer si le prix sera payé directement ou indirectement, même en partie, avec ou sans l'aide d'un ou plusieurs prêts régis par les sections 1 à 5 du présent chapitre."
LEGIARTI000032433227,"Lorsque l'acte mentionné à l'article L. 313-40 indique que le prix est payé, directement ou indirectement, même partiellement, à l'aide d'un ou plusieurs prêts régis par les dispositions des sections 1 à 5 et de la section 7 du présent chapitre, cet acte est conclu sous la condition suspensive de l'obtention du ou des prêts qui en assument le financement. La durée de validité de cette condition suspensive ne peut être inférieure à un mois à compter de la date de la signature de l'acte ou, s'il s'agit d'un acte sous seing privé soumis à peine de nullité à la formalité de l'enregistrement, à compter de la date de l'enregistrement. Lorsque la condition suspensive prévue au premier alinéa n'est pas réalisée, toute somme versée d'avance par l'acquéreur à l'autre partie ou pour le compte de cette dernière est immédiatement et intégralement remboursable sans retenue ni indemnité à quelque titre que ce soit."
LEGIARTI000032433235,"Lorsque l'acte mentionné à l'article L. 313-40 indique que le prix sera payé sans l'aide d'un ou plusieurs prêts, cet acte porte, de la main de l'acquéreur, une mention par laquelle celui-ci reconnaît avoir été informé que s'il recourt néanmoins à un prêt il ne peut se prévaloir des dispositions du présent chapitre. En l'absence de l'indication prescrite à l'article L. 313-40 ou si la mention exigée au premier alinéa manque ou n'est pas de la main de l'acquéreur et si un prêt est néanmoins demandé, le contrat est considéré comme conclu sous la condition suspensive prévue à l'article L. 313-41 ."
LEGIARTI000032433239,"Pour les dépenses relatives à la réparation, l'amélioration ou l'entretien d'immeubles à usage d'habitation ou à usage professionnel et d'habitation, lorsque le crédit est garanti par une hypothèque, par une autre sûreté comparable sur les biens immobiliers à usage d'habitation ou par un droit lié à un bien immobilier à usage d'habitation, et à défaut d'un contrat signé des deux parties, la condition suspensive prévue à l'article L. 313-41 ne peut résulter que d'un avis donné par le maître de l'ouvrage par écrit avant tout commencement d'exécution des travaux indiquant qu'il entend en payer le prix directement ou indirectement, même en partie, avec l'aide d'un ou plusieurs prêts."
LEGIARTI000032433243,"Lorsqu'il est déclaré dans l'acte constatant le prêt que  celui-ci est destiné à financer des ouvrages ou des travaux immobiliers  au moyen d'un contrat de promotion, de construction, de maîtrise d'œuvre  ou d'entreprise, le tribunal peut, en cas de contestation ou  d'accidents affectant l'exécution des contrats et jusqu'à la solution du  litige, suspendre l'exécution du contrat de prêt sans préjudice du  droit éventuel du prêteur à l'indemnisation. Ces dispositions ne sont  applicables que si le prêteur est intervenu à l'instance ou s'il a été  mis en cause par l'une des parties."
LEGIARTI000032433247,Les dispositions de la présente section ne sont pas applicables aux ventes par adjudication.
LEGIARTI000035731472,"Pour les prêts dont le taux d'intérêt est variable ou révisable, le prêteur est tenu, une fois par an, de fournir à l'emprunteur l'information relative au montant du capital restant à rembourser. En cas de modification du taux débiteur, le prêteur fournit cette information à l'emprunteur sur support papier ou sur un autre support durable, avant que la modification n'entre en vigueur. Cette information indique le montant des échéances après l'entrée en vigueur du nouveau taux débiteur ainsi que, le cas échéant, toute modification du nombre ou de la périodicité des échéances. Lorsque la modification du taux débiteur résulte d'une variation du taux de référence, que le nouveau taux de référence est rendu public par des moyens appropriés et que l'information relative au nouveau taux de référence est également disponible dans les locaux du prêteur, les parties peuvent convenir dans le contrat de crédit que cette information est fournie périodiquement à l'emprunteur avec le montant des nouveaux paiements périodiques. Lorsque le contrat de crédit est un crédit à taux variable ou révisable, le prêteur veille à utiliser un indice ou taux de référence clair, accessible, objectif et vérifiable. Il conserve des archives des indices utilisés pour calculer les taux débiteurs. Le prêteur fournit gratuitement à l'emprunteur les informations fournies mentionnées au présent article."
LEGIARTI000048524556,"Avant de modifier les conditions du contrat de crédit, le prêteur communique à l'emprunteur les informations relatives aux modifications envisagées au contrat de crédit de ce dernier, en précisant celles qui nécessitent son consentement, ainsi que les informations relatives au calendrier de mise en œuvre des modifications envisagées et aux modalités de réclamation et de médiation. La liste des informations à communiquer à l'emprunteur est fixée par décret en Conseil d'Etat."
LEGIARTI000035731469,"L'emprunteur peut toujours, à son initiative, rembourser par anticipation, en partie ou en totalité, les prêts régis par les sections 1 à 5 du présent chapitre. Le contrat de prêt peut interdire les remboursements égaux ou inférieurs à 10 % du montant initial du prêt, sauf s'il s'agit de son solde. Si le contrat de prêt comporte une clause aux termes de laquelle, en cas de remboursement par anticipation, le prêteur est en droit d'exiger une indemnité au titre des intérêts non encore échus, celle-ci ne peut, sans préjudice de l'application de l'article 1231-5 code civil , excéder un montant qui, dépendant de la durée restant à courir du contrat, est fixé suivant un barème déterminé par décret. Le prêteur fournit gratuitement sans tarder à l'emprunteur, après réception de la demande de remboursement par anticipation, sur support papier ou sur un autre support durable, les informations nécessaires à l'examen de cette faculté. Ces informations chiffrent au moins les conséquences qui s'imposeront à l'emprunteur s'il s'acquitte de ses obligations avant l'expiration du contrat de crédit et formule clairement les hypothèses utilisées."
LEGIARTI000032433263,"Pour les contrats conclus à compter de la date d'entrée en vigueur de la loi n° 99-532 du 25 juin 1999 relative à l'épargne et à la sécurité financière, aucune indemnité  n'est due par l'emprunteur en cas de remboursement par anticipation  lorsque le remboursement est motivé par la vente du bien immobilier  faisant suite à un changement du lieu d'activité professionnelle de  l'emprunteur ou de son conjoint, par le décès ou par la cessation forcée  de l'activité professionnelle de ces derniers."
LEGIARTI000032310658,Aucune indemnité ni aucun coût autres que ceux qui sont mentionnés aux articles L. 313-47 et L. 313-48 ne peuvent être mis à la charge de l'emprunteur dans les cas de remboursement par anticipation prévus par ces articles.
LEGIARTI000048524616,"Les prêteurs disposent de politiques et de procédures adéquates les incitant à faire preuve d'une tolérance raisonnable avant d'engager une procédure d'exécution à l'encontre d'un emprunteur en difficulté et à lui proposer, s'il y a lieu, des mesures de renégociation tenant notamment compte de sa situation personnelle. Ces mesures peuvent être : a) Le refinancement total ou partiel du contrat de crédit ; b) La modification des conditions existantes d'un contrat de crédit, qui peut comprendre entre autres : i) La prolongation de la durée du contrat de crédit ; ii) La suspension de tout ou partie des versements du remboursement pendant une période donnée ; iii) La modification du taux d'intérêt ; iv) Le réaménagement de l'échéancier, notamment la réduction du montant des versements du remboursement ; v) Une remise de dette partielle et la consolidation de la dette."
LEGIARTI000032309855,"En cas de défaillance de l'emprunteur et lorsque le prêteur n'exige pas le remboursement immédiat du capital restant dû, il peut majorer, dans des limites fixées par décret, le taux d'intérêt que l'emprunteur aura à payer jusqu'à ce qu'il ait repris le cours normal des échéances contractuelles."
LEGIARTI000032890830,"Lorsque le prêteur est amené à demander la résolution du contrat, il peut exiger le remboursement immédiat du capital restant dû, ainsi que le paiement des intérêts échus. Jusqu'à la date du règlement effectif, les sommes restant dues produisent des intérêts de retard à un taux égal à celui du prêt. En outre, le prêteur peut demander à l'emprunteur défaillant une indemnité qui, sans préjudice de l'application de l' article 1231-5  du code civil , ne peut excéder un montant qui, dépendant de la durée restant à courir du contrat, est fixé suivant un barème déterminé par décret."
LEGIARTI000032310660,"Aucune indemnité ni aucun coût autres que ceux qui sont mentionnés à l'article L. 313-51 ne peuvent être mis à la charge de l'emprunteur dans les cas de défaillance prévus par les dispositions de cet article. Toutefois, le prêteur peut réclamer à l'emprunteur, en cas de défaillance de celui-ci, le remboursement, sur justification, des frais taxables qui lui ont été occasionnés par cette défaillance à l'exclusion de tout remboursement forfaitaire de frais de recouvrement."
LEGIARTI000032310667,"Les contrats de location-vente ou de location assortis d'une promesse de vente relatifs aux immeubles mentionnés au a du 1° de l'article L. 313-1 sont soumis aux dispositions du présent chapitre, dans des conditions fixées à la présente section."
LEGIARTI000032309756,"Toute publicité faite, reçue ou perçue en France, qui, quel que soit son support, porte sur l'un des contrats régis par les dispositions de la présente section, précise l'identité du bailleur, la nature et l'objet du contrat. Si cette publicité comporte un ou plusieurs éléments chiffrés, elle mentionne la durée du bail ainsi que le coût annuel et le coût total de l'opération."
LEGIARTI000035731466,"Pour les contrats régis par les dispositions de la présente section, le bailleur est tenu de formuler par écrit sur support papier ou tout autre support durable une offre adressée gratuitement au preneur éventuel. Cette offre mentionne l'identité des parties. Elle précise la nature et l'objet du contrat ainsi que ses modalités, notamment en ce qui concerne les dates et conditions de mise à disposition du bien, le montant des versements initiaux et celui des loyers ainsi que les modalités éventuelles d'indexation. Elle rappelle, en outre, les dispositions de l'article L. 313-58 ."
LEGIARTI000032309768,"Pour les contrats de location assortis d'une promesse de vente, l'offre fixe également : 1° Les conditions de levée de l'option et son coût décomposé entre, d'une part, la fraction des versements initiaux et des loyers prise en compte pour le paiement du prix et, d'autre part, la valeur résiduelle du bien, compte tenu de l'incidence des clauses de révision éventuellement prévues au contrat ; 2° Les conditions et le coût de la non-réalisation de la vente."
LEGIARTI000032310685,Le modèle de l'offre mentionnée à l'article L. 313-55 est fixé par arrêté du ministre chargé de l'économie.
LEGIARTI000035731464,"L'envoi de l'offre oblige le bailleur à maintenir les conditions qu'elle indique pendant une durée minimale de trente jours à compter de sa réception par le preneur. L'offre est soumise à l'acceptation du preneur qui ne peut accepter l'offre que dix jours après qu'il l'a reçue. L'acceptation est notifiée par lettre, le cachet de l'opérateur postal faisant foi, ou selon tout autre moyen dématérialisé convenu entre les parties de nature à rendre certaine la date de l'acceptation par l'emprunteur."
LEGIARTI000032309786,"Jusqu'à l'acceptation de l'offre, le preneur ne peut faire aucun dépôt, souscrire ou avaliser aucun effet de commerce, signer aucun chèque ni aucune autorisation de prélèvement sur compte bancaire ou postal au profit du bailleur ou pour le compte de celui-ci."
LEGIARTI000032890850,"En cas de défaillance du preneur dans l'exécution d'un contrat régi par la présente section, le bailleur est en droit d'exiger, outre le paiement des loyers échus et non réglés, une indemnité qui, sans préjudice de l'application de l'article 1231-5 du code civil , ne peut excéder un montant dépendant de la durée restant à courir du contrat et fixé suivant un barème déterminé par décret. En cas de location-vente, le bailleur ne peut exiger la remise du bien qu'après remboursement de la part des sommes versées correspondant à la valeur en capital de ce bien."
LEGIARTI000032310692,"Aucune indemnité ni aucun coût autres que ceux qui sont mentionnés à l'article L. 313-60 ne peuvent être mis à la charge du preneur. Toutefois, le bailleur peut réclamer au preneur, en cas de défaillance de celui-ci, le remboursement sur justification des frais taxables qui lui ont été occasionnés par cette défaillance, à l'exclusion de tout remboursement forfaitaire de frais de recouvrement."
LEGIARTI000032310694,"En cas de location assortie d'une promesse de vente, l'acte constatant la levée de l'option est conclu sous la condition suspensive prévue à l'article L. 313-41 . Lorsque cette condition n'est pas réalisée, le bailleur restitue toutes sommes versées par le preneur à l'exception des loyers et des frais de remise en état du bien."
LEGIARTI000032309810,Les dispositions de l'article L. 314-20 sont applicables aux contrats soumis aux dispositions de la présente section.
LEGIARTI000032310708,"Les emprunteurs ne peuvent contracter de prêts libellés dans une devise autre que l'euro, remboursables en euros ou dans la devise concernée, que s'ils déclarent percevoir principalement leurs revenus ou détenir un patrimoine dans cette devise au moment de la signature du contrat de prêt, excepté si le risque de change n'est pas supporté par l'emprunteur. Au plus tard à l'émission de l'offre de prêt, le prêteur informe l'emprunteur des risques inhérents à un tel contrat de prêt et des possibilités éventuelles de conversion des remboursements en euros en cours de prêt leur sont précisées. Un décret en Conseil d'Etat précise les conditions d'application du présent article."
LEGIARTI000032303351,"Dans tous les cas, pour la détermination du taux effectif global du prêt, comme pour celle du taux effectif pris comme référence, sont ajoutés aux intérêts les frais, les taxes, les commissions ou rémunérations de toute nature, directs ou indirects, supportés par l'emprunteur et connus du prêteur à la date d'émission de l'offre de crédit ou de l'avenant au contrat de crédit, ou dont le montant peut être déterminé à ces mêmes dates, et qui constituent une condition pour obtenir le crédit ou pour l'obtenir aux conditions annoncées."
LEGIARTI000032303347,"Pour les contrats de crédit qui prévoient un amortissement échelonné, le taux effectif global doit être calculé en tenant compte des modalités de l'amortissement de la créance."
LEGIARTI000032303343,"Pour les contrats de crédit entrant dans le champ d'application des chapitres II et III du présent titre, le taux effectif global est dénommé "" Taux annuel effectif global ""."
LEGIARTI000032303339,"Un décret en Conseil d'Etat précise les conditions d'application des articles L. 314-1 à L. 314-3 et notamment les modalités de détermination de l'assiette et de calcul du taux effectif global, ainsi que les modalités de calcul du taux annuel effectif de l'assurance mentionné aux articles L. 312-7 et L. 313-8 ."
LEGIARTI000032225828,Le taux effectif global déterminé selon les modalités prévues aux articles L. 314-1 à L. 314-4 est mentionné dans tout écrit constatant un contrat de prêt régi par la présente section.
LEGIARTI000032303335,"Constitue un prêt usuraire tout prêt conventionnel consenti à un taux effectif global qui excède, au moment où il est consenti, de plus du tiers, le taux effectif moyen pratiqué au cours du trimestre précédent par les établissements de crédit et les sociétés de financement pour des opérations de même nature comportant des risques analogues, telles que définies par l'autorité administrative après avis du Comité consultatif du secteur financier. Les catégories d'opérations pour les prêts aux particuliers n'entrant pas dans le champ d'application du 1° de l'article L. 313-1 ou ne constituant pas une opération de crédit d'un montant supérieur à 75 000 euros destiné à financer, pour les immeubles à usage d'habitation ou à usage professionnel et d'habitation, les dépenses relatives à leur réparation, leur amélioration ou leur entretien sont définies à raison du montant des prêts. Les crédits accordés à l'occasion de ventes à tempérament sont, pour l'application de la présente section, assimilés à des prêts conventionnels et considérés comme usuraires dans les mêmes conditions que les prêts d'argent ayant le même objet."
LEGIARTI000032225822,Les conditions de calcul et de publicité des taux effectifs moyens mentionnés à l'article L. 314-6 sont fixées par décret.
LEGIARTI000032225820,"Des mesures transitoires, dérogeant aux dispositions de l'article L. 314-6 , peuvent être mises en œuvre par le ministre chargé de l'économie, sur proposition motivée du gouverneur de la Banque de France, pour une période ne pouvant excéder huit trimestres consécutifs, en cas de : -variation d'une ampleur exceptionnelle du coût des ressources des établissements de crédit et des sociétés de financement ; -modifications de la définition des opérations de même nature mentionnées à l'article L. 314-6."
LEGIARTI000032225818,"Les dispositions des articles L. 314-6 à L. 314-8 ne sont pas applicables aux prêts accordés à une personne physique agissant pour ses besoins professionnels ou à une personne morale se livrant à une activité industrielle, commerciale, artisanale, agricole ou professionnelle non commerciale."
LEGIARTI000032225814,"Lorsque les crédits mentionnés à l'article L. 312-1 font l'objet d'une opération de crédit destinée à les regrouper, le nouveau contrat de crédit est soumis au chapitre II."
LEGIARTI000032303331,"Lorsqu'une opération de crédit destinée à regrouper des crédits antérieurs comprend un ou des crédits mentionnés à l'article L. 313-1 dont la part relative ne dépasse pas un seuil fixé par décret en Conseil d'Etat, le nouveau contrat de crédit est soumis au chapitre II . Lorsque cette part relative dépasse ce seuil, le nouveau contrat de crédit est soumis au chapitre III du présent titre."
LEGIARTI000032303327,"Lorsqu'une opération de crédit est destinée à regrouper des crédits mentionnés à l'article L. 313-1 , le nouveau contrat de crédit est soumis au chapitre III . Toute opération de regroupement de crédit garantie par une hypothèque, par une autre sûreté comparable sur les biens immobiliers à usage d'habitation ou par un droit lié à un bien immobilier à usage d'habitation est soumise, quel que soit son objet, aux dispositions du chapitre III du présent titre."
LEGIARTI000032225808,"Le prêteur qui consent une opération de regroupement de crédits comprenant un ou plusieurs contrats de crédits renouvelables mentionnés à l'article L. 312-57 effectue le remboursement du montant dû au titre de ces crédits directement auprès du prêteur initial. Lorsque l'opération porte sur la totalité du montant restant dû au titre d'un crédit renouvelable, le prêteur rappelle à l'emprunteur la possibilité de résilier le contrat afférent et lui propose d'adresser sans frais la lettre de résiliation signée par l'emprunteur."
LEGIARTI000032225806,Les modalités selon lesquelles les opérations de crédit mentionnées aux articles L. 314-10 à L. 314-13 sont conclues afin de garantir la bonne information de l'emprunteur sont précisées par décret en Conseil d'Etat.
LEGIARTI000032225803,"La personne physique qui s'engage par acte sous seing privé en qualité de caution pour l'une des opérations relevant des chapitres II ou III du présent titre fait précéder sa signature de la mention manuscrite suivante et uniquement de celle-ci : "" En me portant caution de X..., dans la limite de la somme de... couvrant le paiement du principal, des intérêts et, le cas échéant, des pénalités ou intérêts de retard et pour la durée de..., je m'engage à rembourser au prêteur les sommes dues sur mes revenus et mes biens si X... n'y satisfait pas lui-même. """
LEGIARTI000032225801,"Lorsque le créancier demande un cautionnement solidaire pour l'une des opérations relevant des chapitres II ou III du présent titre, la personne physique qui se porte caution fait précéder sa signature de la mention manuscrite suivante : "" En renonçant au bénéfice de discussion défini à l' article 2298 du code civil et en m'obligeant solidairement avec X..., je m'engage à rembourser le créancier sans pouvoir exiger qu'il poursuive préalablement X... ""."
LEGIARTI000032225799,Toute personne physique qui s'est portée caution à l'occasion d'une opération de crédit relevant des chapitres II ou III du présent titre est informée par l'établissement prêteur de la défaillance du débiteur principal dès le premier incident de paiement caractérisé susceptible d'inscription au fichier institué à l'article L. 751-1 .
